id,app_name,genre,rating,reviews,cost_label,rate_5_pc,rate_4_pc,rate_3_pc,rate_2_pc,rate_1_pc,updated,size,installs,current_version,requires_android,content_rating,in_app_products,offered_by
1,Swamp Attack,Action,4.6,"2,357,254 total",Install,78.125,10.9375,4.6875,1.5625,4.6875,"June 29, 2018",70M,"100,000,000+",3.0.1,4.1 and up,Rated for 7+,"₫22,000 - ₫2,250,000 per item",Outfit7 Limited
2,Miraculous Ladybug & Cat Noir,Action,4.3,"561,390 total",Install,73.5294,8.088230000000001,4.41176,2.94118,11.0294,"April 10, 2020",46M,"50,000,000+",4.5.80,4.4 and up,Rated for 12+,"₫23,260 - ₫2,349,260 per item",Crazy Labs by TabTale
3,Mini Militia - Doodle Army 2,Action,3.9,"2,560,652 total",Install,63.2911,9.49367,5.6962,3.16456,18.3544,"February 27, 2020",34M,"100,000,000+",5.1.0,4.1 and up,Rated for 12+,"₫22,000 - ₫2,350,000 per item",Miniclip.com
4,Crossy Road,,4.6,"4,401,691 total",Install,78.125,12.5,4.6875,0.78125,3.90625,"February 27, 2020",75M,"100,000,000+",4.3.18,4.4 and up,Rated for 3+,"₫20,000 - ₫618,000 per item",HIPSTER WHALE
5,Stickman Battle,Action,4.0,"25,853 total",Install,62.1118,10.559000000000001,8.074530000000001,4.96894,14.2857,"April 20, 2020",Varies with device,"10,000,000+",1.0.29,5.0 and up,Rated for 12+,"₫23,000 - ₫230,000 per item",OneSoft Global PTE. LTD.
6,Children's doctor : dentist.,,3.8,"61,279 total",Install,57.1429,8.57143,8.0,6.28571,20.0,"January 15, 2020",20M,"10,000,000+",1.1.6,4.1 and up,Rated for 3+,,YovoGames
7,PJ Masks™: Moonlight Heroes,,3.9,"124,422 total",Install,62.5,8.125,6.25,4.375,18.75,"February 24, 2020",83M,"50,000,000+",3.0.0,4.1 and up,Rated for 3+,"₫69,000 - ₫99,999 per item",Entertainment One
8,Local Weather Forecast,Weather,4.5,"16,111 total",Install,72.9927,17.5182,3.64964,1.45985,4.37956,"April 10, 2020",7.9M,"1,000,000+",2.10.12,5.0 and up,Rated for 3+,,Tools Dev
9,ABC Kids - Tracing & Phonics,,4.4,"51,085 total",Install,75.188,12.0301,4.51128,1.50376,6.76692,"February 28, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,Rated for 3+,,RV AppStudios
10,Animal Sounds,,4.6,"39,693 total",Install,78.125,14.0625,3.90625,0.78125,3.125,"December 28, 2017",67M,"5,000,000+",1.11,4.0.3 and up,Rated for 3+,"₫22,000 - ₫137,000 per item",Papumba
11,8 Ball Pool,Sports,4.5,"18,551,077 total",Install,76.9231,10.7692,3.84615,1.53846,6.923080000000001,"April 3, 2020",59M,"500,000,000+",4.8.4,4.1 and up,Rated for 3+,"₫22,000 - ₫2,350,000 per item",Miniclip.com
12,"Nox Cleaner - Booster, Optimizer, Clean Master",Tools,4.5,"1,184,281 total",Install,80.0,7.2,4.0,1.6,7.2,"April 14, 2020",27M,"50,000,000+",2.7.2,4.4 and up,Rated for 3+,"₫23,000 - ₫333,000 per item",Nox Ltd.
13,Draw Climber,Arcade,3.7,"216,004 total",Install,51.2821,13.3333,11.2821,6.66667,17.4359,"April 18, 2020",61M,"50,000,000+",1.6.1,4.4 and up,Rated for 3+,"₫79,000 per item",VOODOO
14,"iDates - Chat, Flirt with Singles & Fall in Love",Dating,4.2,"72,839 total",Install,78.125,2.34375,0.78125,0.78125,17.9688,"April 16, 2020",3.9M,"1,000,000+",5.2.11 (Quattro),4.2 and up,Rated for 18+,"₫22,000 - ₫3,099,000 per item",Boranu Online B.V
15,Joyride – Open-Minded Dating & Passionate Singles,Dating,4.2,"183,486 total",Install,68.4931,12.3288,4.7945199999999994,1.36986,13.0137,"March 27, 2020",15M,"10,000,000+",6.18.0,5.0 and up,Rated for 18+,"₫27,999 - ₫852,999 per item",Jaumo
16,Critical Strike CS: Counter Terrorist Online FPS,Action,4.1,"234,453 total",Install,64.9351,11.039000000000001,6.49351,3.24675,14.2857,"March 20, 2020",133M,"10,000,000+",9.23,4.1 and up,Rated for 16+,"₫47,000 - ₫2,350,000 per item",VERTIGO GAMES
17,KQXS XSMN XSMB Vietlott Trực tiếp Xổ Số Minh Ng�?c,Events,4.2,30 total,Install,66.6667,16.6667,0.0,0.0,16.6667,"December 6, 2019",4.9M,"10,000+",1.55,4.0.3 and up,Rated for 3+,,Hứa Chân Tâm
18,Robbery Bob 2: Double Trouble,Action,4.3,"591,897 total",Install,73.5294,8.82353,5.14706,2.94118,9.558819999999999,"April 4, 2020",67M,"50,000,000+",1.6.8.9,4.1 and up,Rated for 7+,"₫21,000 - ₫449,000 per item",Level Eight AB
19,Modern Flag Forces New Shooting Games 2020,Adventure,4.3,"9,305 total",Install,71.4286,12.1429,4.28571,2.1428599999999998,10.0,"April 11, 2020",Varies with device,"1,000,000+",1.39,4.1 and up,Rated for 16+,"₫22,000 - ₫336,000 per item",Superstar Free Games
20,Block Craft 3D: Building Simulator Games For Free,Simulation,4.1,"1,596,118 total",Install,67.5676,9.45946,5.40541,3.3783800000000004,14.1892,"November 7, 2019",57M,"100,000,000+",2.11.0,4.0.3 and up,Rated for 12+,"₫26,000 - ₫2,250,000 per item",Fun Games For Free
21,World of Tanks Blitz MMO,Action,4.3,"3,004,517 total",Install,72.9927,10.9489,3.64964,2.18978,10.219,"March 25, 2020",101M,"50,000,000+",6.9.0.501,4.2 and up,Rated for 12+,"₫9,000 - ₫2,199,000 per item",Wargaming Group
22,Jewels Planet - Free Match 3 & Puzzle Game,Puzzle,4.5,"6,515 total",Install,75.188,12.782,6.01504,1.50376,4.51128,"January 13, 2020",24M,"1,000,000+",1.1.9,Varies with device,Rated for 3+,"₫26,000 - ₫2,300,000 per item",Teskin Games
23,Bắn Cá Online – Game Ban Ca Sieu Thi 2020,Casino,4.2,"3,062 total",Install,74.0741,7.4074100000000005,2.22222,1.48148,14.8148,"August 9, 2019",21M,"100,000+",38,4.1 and up,Rated for 12+,"₫21,000 - ₫310,000 per item",IDEALTIK IMPORT SL
24,Ongame Sám cô - Xì tố Poker 7 lá,Casino,3.8,"6,390 total",Install,65.3595,4.5751599999999994,2.61438,1.96078,25.4902,"April 1, 2020",66M,"100,000+",4.0.2.7,4.1 and up,Rated for 12+,"₫10,000 - ₫2,000,000 per item",Net2e
25,FaFaFa™ Gold Casino: Free slot machines,Casino,4.1,"23,429 total",Install,68.9655,9.65517,4.13793,2.06897,15.1724,"February 10, 2020",56M,"1,000,000+",2.11.6,5.1 and up,Rated for 12+,"₫23,000 - ₫4,650,000 per item",Product Madness
26,Rope Hero,Action,3.9,"332,934 total",Install,63.2911,6.96203,5.6962,3.7974699999999997,20.2532,"February 18, 2020",98M,"10,000,000+",2.4,4.0 and up,Rated for 16+,"₫6,000 - ₫1,750,000 per item",Naxeex LLC
27,Block Tank Wars 2,Arcade,4.3,"51,985 total",Install,70.922,10.6383,5.67376,2.83688,9.92908,"February 26, 2017",91M,"1,000,000+",2.3,2.3 and up,Rated for 7+,,Cube Software
28,Miami Rope Hero Spider Man Open World Gangster,Role Playing,4.2,"6,499 total",Install,73.5294,4.41176,3.6764699999999997,2.94118,15.4412,"February 18, 2020",74M,"5,000,000+",1.0.14,5.1 and up,Rated for 16+,"₫38,000 - ₫1,200,000 per item",Open World Action Games
29,Minion Rush: Despicable Me Official Game,,4.5,"10,553,560 total",Install,76.9231,10.0,4.61538,1.53846,6.923080000000001,"March 18, 2020",74M,"100,000,000+",7.1.0f,4.1 and up,Rated for 3+,"₫6,000 - ₫2,199,000 per item",Gameloft SE
30,Princess Salon,,4.1,"225,192 total",Install,67.5676,10.1351,6.756760000000001,2.7027,12.8378,"April 14, 2020",94M,"10,000,000+",1.2.6,4.1 and up,Rated for 3+,"₫57,095 - ₫1,650,000 per item",Libii
31,Animal Coloring Book,,3.8,"22,512 total",Install,57.8035,10.4046,6.35838,4.624280000000001,20.8092,"March 31, 2020",26M,"1,000,000+",3.0.10,4.1 and up,Rated for 3+,"₫44,329 - ₫135,000 per item",Colorfit
32,Llama Spit Spit,,4.3,"33,030 total",Install,70.922,11.3475,7.0922,2.83688,7.801419999999999,"May 4, 2017",55M,"1,000,000+",1.1,4.0 and up,Rated for 3+,,Nickelodeon
33,Stylist Girl - Make Me Gorgeous!,Role Playing,4.1,"169,248 total",Install,67.1141,9.39597,6.04027,4.02685,13.4228,"October 31, 2019",95M,"10,000,000+",1.0.8,4.4 and up,Rated for 12+,"₫23,000 - ₫234,715 per item",Coco Play By TabTale
34,Dino Factory,Simulation,4.3,"34,033 total",Install,69.4444,11.8056,6.944439999999999,2.77778,9.02778,"February 17, 2020",Varies with device,"1,000,000+",Varies with device,Varies with device,Rated for 3+,"₫22,000 - ₫2,199,000 per item",Oh BiBi
35,Tubi - Free Movies & TV Shows,Entertainment,4.6,"913,063 total",Install,76.3359,15.2672,3.81679,0.763359,3.81679,"April 5, 2020",22M,"50,000,000+",3.8.4,4.1 and up,Rated for 12+,,Tubi TV
36,Grand Mountain Adventure: Snowboard Premiere,Sports,4.2,"12,305 total",Install,60.6061,18.7879,8.48485,3.0303,9.090910000000001,"April 15, 2020",65M,"1,000,000+",1.152,6.0 and up,Rated for 3+,"₫30,000 per item",Toppluva AB
37,Carrom Pool,Sports,4.3,"1,700,882 total",Install,69.4444,13.8889,6.25,2.08333,8.33333,"March 31, 2020",31M,"100,000,000+",4.0.1,4.1 and up,Rated for 3+,"₫22,000 - ₫2,350,000 per item",Miniclip.com
38,Super Hit Baseball,Sports,4.4,"18,977 total",Install,62.5,24.375,8.125,1.25,3.75,"April 15, 2020",83M,"500,000+",1.6.1,5.0 and up,Rated for 3+,"₫24,000 - ₫2,199,000 per item",Hothead Games
39,Basketball Shoot,Sports,4.3,"559,376 total",Install,68.4931,13.6986,6.84932,2.7397299999999998,8.21918,"July 26, 2019",8.6M,"10,000,000+",1.19.47,4.1 and up,Rated for 3+,,Runner Games
40,Save The Girl,Casual,3.4,"140,135 total",Install,48.0769,9.61539,9.13461,6.73077,26.4423,"April 15, 2020",41M,"10,000,000+",1.0.7,4.4 and up,Rated for 16+,"₫70,000 per item",Lion Studios
41,Jelly Shift,Casual,4.1,"270,783 total",Install,65.3595,10.4575,7.843139999999999,4.5751599999999994,11.7647,"March 9, 2020",38M,"50,000,000+",1.8.4,4.1 and up,Rated for 3+,"₫69,000 - ₫139,000 per item",SayGames
42,Property Calculator Malaysia: Free Property App,House & Home,4.6,980 total,Install,71.9424,21.5827,6.474819999999999,0.0,0.0,"November 24, 2019",6.0M,"10,000+",23.11.19,4.0.3 and up,Rated for 3+,,SyncTeq Development
43,Powerpal,House & Home,4.1,9 total,Install,44.4444,44.4444,0.0,0.0,11.1111,"January 16, 2020",12M,"1,000+",1.6.1,4.4 and up,Rated for 3+,,Powerpal Pty Ltd
44,PM Awas Yojana 2020-21,House & Home,3.4,"1,005 total",Install,53.7634,5.9139800000000005,1.6129,1.6129,37.0968,"April 14, 2020",3.1M,"1,000,000+",1.7,4.1 and up,Rated for 3+,,JayBharat
45,99.co Indonesia: Jual Beli Properti Online,House & Home,4.2,"6,956 total",Install,64.5161,14.1935,7.096769999999999,3.22581,10.9677,"April 14, 2020",22M,"100,000+",5.7.7,4.4 and up,Rated for 3+,,99.co Indonesia
46,Solitaire Free,Card,4.8,"98,741 total",Install,93.4579,3.73832,0.934579,0.0,1.86916,"January 28, 2020",6.6M,"5,000,000+",5.1,5.0 and up,Rated for 12+,,Lezigame
47,GialloZafferano: le Ricette,Food & Drink,4.8,"51,474 total",Install,82.6446,17.3554,0.0,0.0,0.0,"April 14, 2020",Varies with device,"1,000,000+",Varies with device,Varies with device,Rated for 3+,"₫28,930 - ₫220,000 per item",Mondadori Media S.p.A.
48,Tasty,Food & Drink,4.7,"100,047 total",Install,84.0336,13.4454,1.68067,0.0,0.8403360000000001,"April 2, 2020",14M,"5,000,000+",1.32.0,5.0 and up,Rated for 3+,,BuzzFeed
49,Six Pack in 30 Days - Abs Workout,Health & Fitness,4.9,"719,901 total",Install,95.2381,3.8095199999999996,0.0,0.0,0.9523809999999999,"March 3, 2020",13M,"50,000,000+",1.0.20,4.4 and up,Rated for 12+,"₫116,000 per item",Leap Fitness Group
50,All Guns Blazing,Action,4.6,"49,939 total",Install,81.3008,12.1951,3.25203,0.813008,2.43902,"October 3, 2018",19M,"1,000,000+",1.906,4.0.3 and up,Rated for 16+,"₫109,000 - ₫2,199,000 per item",Mobile Gaming Studios Ltd.
51,Subway Surfers,Arcade,4.5,"32,554,526 total",Install,76.9231,10.0,4.61538,1.53846,6.923080000000001,"April 16, 2020",94M,"1,000,000,000+",1.118.0,4.1 and up,Rated for 3+,"₫25,000 - ₫2,400,000 per item",SYBO Games
52,Dentist Bling,Simulation,2.8,"24,751 total",Install,32.3651,7.053939999999999,9.128630000000001,9.95851,41.4938,"April 13, 2020",50M,"10,000,000+",0.3.4,4.4 and up,Rated for 3+,"₫48,000 per item",Crazy Labs by TabTale
53,adidas Running App by Runtastic - Running Tracker,Health & Fitness,4.6,"975,525 total",Install,78.7402,14.1732,1.5748,0.787402,4.72441,"April 14, 2020",Varies with device,"50,000,000+",Varies with device,Varies with device,Rated for 3+,"₫6,000 - ₫1,300,000 per item",Runtastic
54,"Any.do: To do list, Calendar, Planner & Reminders",Productivity,4.4,"343,819 total",Install,77.5194,8.52713,3.8759699999999997,2.32558,7.751939999999999,"April 19, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,Rated for 3+,"₫21,000 - ₫1,908,000 per item",Any.do Calendar & To-Do List
55,Flowers Gifs And Roses Live Wallpapers,Libraries & Demo,4.4,214 total,Install,77.5194,7.751939999999999,2.32558,4.65116,7.751939999999999,"February 25, 2020",3.5M,"50,000+",11.9.1,4.0.3 and up,Rated for 3+,,Smart Wonderful App Inc.
56,PayPal Mobile Cash: Send and Request Money Fast,Finance,4.4,"1,307,561 total",Install,76.3359,9.92366,3.05344,1.52672,9.16031,"April 1, 2020",43M,"100,000,000+",7.22.1,5.0 and up,Rated for 3+,,PayPal Mobile
57,Krungthai NEXT,Finance,4.4,"127,184 total",Install,74.0741,11.1111,4.44444,1.48148,8.88889,"February 16, 2020",68M,"10,000,000+",9.23,5.0 and up,Rated for 3+,,Krungthai Bank PCL.
58,Banco Itaú: Gerencie sua conta pelo celular,Finance,4.4,"1,420,908 total",Install,74.6269,11.194,3.7313400000000003,2.23881,8.20895,"April 17, 2020",74M,"10,000,000+",6.15.0,5.0 and up,Rated for 3+,,Itaú Unibanco S. A.
59,삼성�?권 mPOP (계좌개설 겸용),Finance,3.1,"5,498 total",Install,38.1679,12.2137,7.2519100000000005,6.10687,36.2595,"April 2, 2020",66M,"1,000,000+",2.01.27,4.0.3 and up,Rated for 3+,,"Samsung Securities Co., Ltd."
60,Real Thumb Car Racing: New Car Games 2020,Racing,3.9,"28,582 total",Install,64.5161,7.74194,5.80645,3.87097,18.0645,"April 5, 2020",28M,"10,000,000+",1.4.2,4.4 and up,Rated for 3+,"₫22,000 - ₫133,000 per item",Abstron Pvt Ltd
61,DEAD WARFARE: Zombie Shooting - Gun Games Free,Action,4.2,"217,545 total",Install,72.4638,7.971010000000001,5.0724599999999995,2.89855,11.5942,"April 15, 2020",108M,"10,000,000+",2.13.42,4.4 and up,Rated for 18+,"₫23,000 - ₫2,350,000 per item",VNG GAME STUDIOS
62,�?�險人渣,Adventure,3.7,"1,089 total",Install,51.0204,11.2245,14.7959,7.142860000000001,15.8163,"February 8, 2020",65M,"100,000+",2.06000,4.1 and up,Rated for 12+,"₫24,000 - ₫828,000 per item",Genuine Studio Ltd
63,Bullet Force,Action,4.0,"743,802 total",Install,62.1118,11.8012,6.8323,3.7267099999999997,15.527999999999999,"April 3, 2020",51M,"10,000,000+",1.70.0,4.4 and up,Rated for 12+,"₫22,000 - ₫1,150,000 per item","Blayze Games, L.L.C."
64,أحلى رسائل حب رومانسية 2020 جديدة,Books & Reference,4.6,"13,525 total",Install,88.4956,2.6548700000000003,2.6548700000000003,1.7699099999999999,4.42478,"March 14, 2020",8.1M,"1,000,000+",5.8,4.1 and up,Rated for 3+,,AISH Apps
65,Библиотека MyBook — книги и аудиокниги,Books & Reference,4.4,"33,077 total",Install,78.7402,7.87402,1.5748,1.5748,10.2362,"April 4, 2020",21M,"5,000,000+",3.16.3,4.1 and up,Rated for 3+,"₫63,306 - ₫3,500,000 per item",MyBook
66,"Libby, by OverDrive",Books & Reference,4.5,"21,776 total",Install,77.5194,10.8527,3.10078,2.32558,6.20155,"February 6, 2020",2.4M,"1,000,000+",3.0.5,4.4 and up,Rated for 3+,,"OverDrive, Inc."
67,Audible Audiobooks: Stories & Audio Entertainment,Books & Reference,4.6,"939,695 total",Install,79.3651,12.6984,1.5873,0.793651,5.55556,"April 10, 2020",23M,"100,000,000+",2.50.0,4.1 and up,Rated for 12+,,"Audible, Inc"
68,PDF Reader,Books & Reference,4.3,"331,160 total",Install,67.5676,13.5135,7.43243,2.7027,8.78378,"October 17, 2019",6.7M,"10,000,000+",6.5,4.1 and up,Rated for 3+,,pickwick santa
69,طاقچه : دانلود کتاب و کتاب صوتی,Books & Reference,4.3,"5,849 total",Install,70.4225,13.3803,5.6338,2.11268,8.4507,"March 22, 2020",23M,"500,000+",8.1.7,4.1 and up,Rated for 3+,,Taaghche
70,Ludo Talent- Super Ludo Online Game,Board,4.2,"86,240 total",Install,64.9351,13.6364,7.142860000000001,3.24675,11.039000000000001,"April 15, 2020",31M,"10,000,000+",2.5.1,4.1 and up,Rated for 3+,"₫23,000 - ₫4,950,000 per item",Bigo Entertainment Developer
71,Baby puzzles,,4.1,"19,053 total",Install,64.1026,11.5385,7.05128,3.84615,13.4615,"December 16, 2019",12M,"10,000,000+",8.0,4.0.3 and up,Rated for 3+,"₫159,000 per item",AppQuiz
72,Asphalt Nitro,Racing,4.4,"1,451,498 total",Install,72.9927,11.6788,5.10949,2.18978,8.0292,"March 27, 2020",45M,"50,000,000+",1.7.4a,4.1 and up,Rated for 3+,"₫22,000 - ₫2,199,000 per item",Gameloft SE
73,Major Mayhem 2 - Gun Shooting Action,Arcade,4.4,"99,537 total",Install,69.9301,15.3846,6.29371,2.0979,6.29371,"May 25, 2019",Varies with device,"10,000,000+",Varies with device,4.1 and up,Rated for 16+,"₫8,000 - ₫400,000 per item",Rocket Jump Games
74,"Utkarsh: Online Test, Live Video Classes, ebooks",Education,4.3,"53,717 total",Install,75.7576,8.33333,3.7878800000000004,2.27273,9.84848,"April 1, 2020",16M,"1,000,000+",3.4.2.2,5.0 and up,Rated for 3+,,Utkarsh Classes
75,Audio Player,Music & Audio,4.5,"85,744 total",Install,78.125,13.2812,3.125,0.78125,4.6875,"April 15, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,Rated for 3+,,JRT Studio Music Players
76,YouTube,Video Players & Editors,4.1,"69,089,674 total",Install,68.9655,8.96552,5.51724,2.75862,13.7931,"April 18, 2020",Varies with device,"5,000,000,000+",Varies with device,Varies with device,Rated for 12+,,Google LLC
77,Plants vs Zombies™ 2 Free,Casual,4.4,"6,442,134 total",Install,75.7576,9.84848,4.54545,1.51515,8.33333,"March 24, 2020",31M,"100,000,000+",8.0.1,4.1 and up,Rated for 7+,"₫11,000 - ₫2,199,000 per item",ELECTRONIC ARTS
78,벼룩시장구�?�구�? – �?활밀착 �?��?리 서비스 앱,Business,4.0,"8,956 total",Install,55.2486,18.7845,10.4972,4.4198900000000005,11.0497,"February 25, 2020",6.6M,"1,000,000+",2.6.03,4.1 and up,Rated for 3+,,MEDIAWILL
79,Bottle Jump 3D,Arcade,4.2,"75,673 total",Install,69.9301,9.090910000000001,6.29371,4.1958,10.4895,"March 23, 2020",27M,"10,000,000+",1.8.1,5.0 and up,Rated for 3+,"₫70,000 - ₫139,000 per item",CASUAL AZUR GAMES
80,Garfield™ Rush,Action,4.3,"18,102 total",Install,71.4286,8.57143,7.142860000000001,2.8571400000000002,10.0,"April 17, 2020",90M,"5,000,000+",3.3.2,4.1 and up,Rated for 3+,"₫23,000 - ₫2,300,000 per item",Ivy
81,Left to Survive: Zombie Survival PvP Shooter,Action,4.3,"245,651 total",Install,68.4931,15.0685,6.16438,2.7397299999999998,7.53425,"April 16, 2020",68M,"10,000,000+",3.8.0,4.2 and up,Rated for 16+,"₫24,000 - ₫2,350,000 per item",My.com B.V.
82,"myMail – Email for Hotmail, Gmail and Outlook Mail",Communication,4.3,"366,516 total",Install,68.0272,17.0068,4.7619,2.7210900000000002,7.482989999999999,"April 17, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,Rated for 3+,,My.com B.V.
83,Thomas & Friends: Go Go Thomas,,4.2,"196,183 total",Install,71.9424,7.19424,5.03597,2.8777,12.9496,"January 31, 2019",18M,"10,000,000+",2.1,4.1 and up,Rated for 3+,"₫48,000 - ₫355,000 per item",Budge Studios
84,Baby Princess Phone,,3.5,"7,747 total",Install,52.9101,6.878310000000001,7.4074100000000005,6.34921,26.455,"February 21, 2020",Varies with device,"5,000,000+",1.3.7,4.1 and up,Rated for 3+,"₫46,000 per item",Minibuu
85,Crazy Car Traffic Racing Games 2020: New Car Games,Racing,4.1,"38,896 total",Install,67.1141,8.72483,6.711410000000001,3.3557,14.094000000000001,"April 11, 2020",47M,"10,000,000+",7.0.9,4.1 and up,Rated for 3+,"₫23,000 - ₫334,000 per item",GAMEXIS
86,MARVEL Strike Force - Squad RPG,Role Playing,4.3,"402,741 total",Install,65.3595,18.9542,5.88235,2.61438,7.189539999999999,"April 9, 2020",113M,"10,000,000+",3.10.2,4.4 and up,Rated for 12+,"₫22,000 - ₫3,299,000 per item",FoxNext Games
87,Animal Cars Kids Racing Game,,4.1,"2,105 total",Install,62.1118,11.8012,9.93789,6.211180000000001,9.93789,"April 2, 2020",29M,"1,000,000+",1.5.9,4.0.3 and up,Rated for 3+,"₫17,000 - ₫25,000 per item",Raz Games
88,Baby ABC in box Kids alphabet games for toddlers,,4.3,"18,548 total",Install,70.4225,11.9718,6.338030000000001,2.11268,9.15493,"March 17, 2020",51M,"1,000,000+",3.2.3.8,4.1 and up,Rated for 3+,"₫50,000 - ₫132,000 per item",Bini
89,Sports Car Jigsaw Puzzles Game - Kids & Adults �?��?,,4.5,"2,529 total",Install,79.3651,7.93651,3.1746,2.38095,7.142860000000001,"November 28, 2019",20M,"1,000,000+",24.0,4.2 and up,Rated for 3+,"₫10,000 per item",App Family Kids - Games for boys and girls
90,12 Locks II,,4.5,"20,090 total",Install,81.3008,7.317069999999999,2.43902,1.62602,7.317069999999999,"March 23, 2020",26M,"1,000,000+",1.9,4.0 and up,Rated for 3+,,RUD Present
91,Preschool games for little kids,,4.3,"5,763 total",Install,65.7895,17.7632,7.236839999999999,2.63158,6.57895,"January 29, 2020",57M,"1,000,000+",2.69,4.1 and up,Rated for 3+,"₫94,000 per item",Bimi Boo Kids - Games for boys and girls LLC
92,Transformers Rescue Bots: Hero Adventures,,4.0,"53,019 total",Install,67.5676,6.756760000000001,5.40541,4.05405,16.2162,"January 28, 2020",41M,"10,000,000+",2.1,4.1 and up,Rated for 3+,"₫17,000 - ₫149,000 per item",Budge Studios
93,Yoga for Kids and Family fitness - Easy Workout,,4.6,"4,942 total",Install,84.0336,7.56302,1.68067,1.68067,5.04202,"April 5, 2020",6.9M,"500,000+",2.23,4.4 and up,Rated for 3+,"₫33,000 per item",GunjanApps Studios
94,Magic school: Little witch,,4.3,"3,895 total",Install,76.3359,5.34351,4.58015,2.29008,11.4504,"March 26, 2020",68M,"1,000,000+",1.1.9,4.2 and up,Rated for 7+,"₫42,000 per item",Hippo Kids Games
95,Toca Kitchen Sushi Restaurant,,4.2,320 total,"₫89,000 Buy",64.1026,16.0256,5.76923,4.48718,9.61539,"September 19, 2019",75M,"10,000+",1.1.1,4.4 and up,Rated for 3+,,Toca Boca
96,BFF Shopping Day - Games for Girls,Casual,4.0,"1,341 total",Install,63.2911,11.3924,5.6962,2.53165,17.0886,"March 29, 2020",44M,"100,000+",1.1,4.1 and up,Rated for 3+,,Teenage Fashion Dress Up
97,Little Kitty Town - Collect Cats & Create Stories,,3.8,"1,855 total",Install,59.5238,6.547619999999999,8.33333,4.7619,20.8333,"April 3, 2020",52M,"1,000,000+",1.2.10,4.4 and up,Rated for 3+,"₫99,999 per item",TutoTOONS
98,"My Animal Hair Salon - Style, Create & Experiment",,4.0,"3,450 total",Install,64.9351,9.090910000000001,4.54545,4.54545,16.8831,"March 20, 2020",111M,"1,000,000+",5.0.8,4.4 and up,Rated for 3+,"₫59,999 - ₫99,999 per item",TutoTOONS
99,123 Numbers - Count & Tracing,,4.5,"5,814 total",Install,80.0,9.6,2.4,2.4,5.6,"February 7, 2020",34M,"1,000,000+",1.3.7,4.1 and up,Rated for 3+,,RV AppStudios
100,Pinkfong Singing Phone,,4.0,"11,411 total",Install,66.6667,6.66667,5.33333,4.66667,16.6667,"January 15, 2020",31M,"5,000,000+",24,4.2 and up,Rated for 3+,"₫47,000 per item",SMARTSTUDY PINKFONG
101,Neon Logo Maker - Logo Creator & Logo Designer,Art & Design,3.5,88 total,Install,54.0541,6.48649,4.324319999999999,7.56757,27.5676,"February 21, 2020",31M,"10,000+",1.4,4.0.3 and up,Rated for 3+,,continuum
102,"Logo Maker - Logo Creator, Generator & Designer",Art & Design,4.5,"10,392 total",Install,76.3359,10.687000000000001,4.58015,3.05344,5.34351,"April 10, 2020",14M,"1,000,000+",1.3.9,4.2 and up,Rated for 3+,,Wild Dev Labx.Inc
103,Painter Mobile,Photography,3.9,"27,198 total",Install,55.5556,15.0,8.33333,5.55556,15.5556,"December 3, 2015",16M,"1,000,000+",2.1.3,4.0.3 and up,Rated for 3+,"₫21,000 - ₫134,004 per item",Corel
104,English for Kids,,4.2,"4,040 total",Install,66.2252,13.245,5.96026,3.31126,11.2583,"December 28, 2017",36M,"500,000+",1.20,4.0.3 and up,Rated for 3+,"₫33,000 - ₫90,000 per item",Papumba
105,Cute Kitty Coloring Book For Kids With Glitter,,4.1,549 total,Install,67.5676,11.4865,4.72973,1.35135,14.8649,"April 19, 2020",29M,"1,000,000+",4.0,4.1 and up,Rated for 3+,"₫61,000 per item",FunKidStudio
106,Live Weather - Weather Forecast 2020,Weather,4.5,"2,041 total",Install,81.9672,7.37705,3.27869,2.45902,4.91803,"January 26, 2020",14M,"100,000+",1.0.3,4.2 and up,Rated for 3+,,"N Tech, Weather & Radar"
107,Weather & Radar USA,Weather,4.5,"966,749 total",Install,67.1141,25.5034,4.69799,0.671141,2.01342,"April 8, 2020",15M,"50,000,000+",2020.7.1,5.0 and up,Rated for 3+,"₫21,000 - ₫198,000 per item",WetterOnline GmbH
108,magicplan – 2D/3D floor plans & AR measurement,Productivity,4.5,"48,712 total",Install,69.4444,20.8333,5.55556,0.694444,3.4722199999999996,"April 2, 2020",Varies with device,"5,000,000+",Varies with device,Varies with device,Rated for 3+,"₫70,000 - ₫4,499,000 per item",Sensopia Inc
109,Weather Forecast,Weather,4.7,"8,724 total",Install,84.0336,10.084,3.36134,0.0,2.52101,"November 4, 2019",8.9M,"500,000+",1.0.4,4.0 and up,Rated for 3+,,Ziojean
110,Stylish Calculator Free - CALCU™,Tools,4.7,"186,319 total",Install,80.6452,13.7097,2.41935,0.8064520000000001,2.41935,"April 6, 2020",14M,"10,000,000+",3.9.6,4.4 and up,Rated for 3+,"₫45,000 per item",Designer Calculators
111,Equalizer - Bass Booster & Volume Booster,Tools,4.6,"22,268 total",Install,76.9231,13.8462,4.61538,0.769231,3.84615,"March 8, 2020",4.9M,"1,000,000+",1.0.8,4.2 and up,Rated for 3+,,Coocent
