id,app_name,genre,rating,reviews,cost_label,rate_5_pc,rate_4_pc,rate_3_pc,rate_2_pc,rate_1_pc,updated,size,installs,current_version,requires_android,content_rating,in_app_products,offered_by
1660,Good Morning Cards and GIFs,Social,4.8,279 total,Install,92.5926,7.4074100000000005,0.0,0.0,0.0,"March 27, 2020",10M,"10,000+",1.5,4.0 and up,Rated for 3+,"₫43,000 per item",Davno Greeting Cards
1661,ServeStream,Music & Audio,4.3,"3,788 total",Install,69.4444,16.6667,3.4722199999999996,2.08333,8.33333,"September 2, 2016",Varies with device,"100,000+",0.7.3,3.1 and up,Rated for 3+,"₫21,100 - ₫422,000 per item",William Seemann
1662,Hondurasteve Radio Television VIP,Entertainment,4.9,12 total,Install,91.7431,8.25688,0.0,0.0,0.0,"February 26, 2020",7.7M,100+,11,4.1 and up,Rated for 3+,,Paul Dickson
1663,Meowar,Strategy,4.3,184 total,Install,68.0272,17.0068,7.482989999999999,1.3605399999999999,6.12245,"April 20, 2020",Varies with device,"10,000+",0.3.6,4.1 and up,Rated for 3+,"₫24,000 - ₫2,400,000 per item",VGames Studios
1664,CatTV - Online Free Movie and TV Series,Entertainment,4.0,255 total,Install,54.9451,20.3297,8.791210000000001,4.3956,11.5385,"April 22, 2020",30M,"10,000+",1.1.1,4.4 and up,Rated for 12+,"₫46,000 - ₫821,000 per item",MaogouTV Dev.
1665,5Dmax - Xem Phim Online HD,Entertainment,3.9,"5,017 total",Install,62.5,8.75,5.0,3.75,20.0,"April 21, 2020",54M,"1,000,000+",2.51,5.0 and up,Rated for 3+,,"5Dmax, Inc"
1666,Tiin,News & Magazines,3.9,"1,216 total",Install,58.1395,13.9535,4.06977,6.39535,17.4419,"April 13, 2020",7.7M,"100,000+",4.0.7,4.2 and up,Rated for 3+,,Viettel Media Inc
1667,Shams Telecom,Tools,3.6,593 total,Install,53.4759,5.88235,11.7647,4.81283,24.0642,"September 5, 2019",11M,"50,000+",2.22,4.1 and up,Rated for 3+,,SoftwareDeveloper
1668,港人話電視,News & Magazines,4.4,"1,417 total",Install,75.188,12.0301,3.00752,3.7594,6.01504,"January 13, 2020",11M,"50,000+",72,4.2 and up,Rated for 3+,,港人
1669,Files To SD Card,Tools,4.5,"277,923 total",Install,74.0741,16.2963,4.44444,0.740741,4.44444,"February 18, 2020",3.8M,"10,000,000+",1.687,5.0 and up,Rated for 3+,,Michal Buká�?ek
1670,Copy (Text & Screenshots),Tools,4.1,933 total,Install,66.6667,6.66667,10.0,2.66667,14.0,"April 16, 2020",1.2M,"100,000+",1.2,6.0 and up,Rated for 3+,,weberdo
1671,Pokémon TCG Card Dex,Tools,3.4,"4,323 total",Install,48.7805,9.268289999999999,6.829269999999999,6.34146,28.7805,"February 6, 2020",86M,"1,000,000+",1.7,5.1 and up,Rated for 3+,,The Pokémon Company International
1672,"PRO Baseball Live Scores, Plays, & Stats for MLB",Sports,4.6,16 total,"₫116,000 Buy",82.6446,5.78512,5.78512,5.78512,0.0,"April 18, 2020",8.8M,100+,8.5.8,4.4 and up,Rated for 3+,,Sports Scores
1673,Billiards Royale - King of the Table,Sports,3.4,10 total,Install,50.0,10.0,0.0,10.0,30.0,"February 10, 2020",115M,"5,000+",1.0.4,4.4 and up,Rated for 3+,,Robot Riot UG (haftungsbeschränkt)
1674,CATRIS - Merge Cat | Kitty Merging Game,Board,4.5,"3,362 total",Install,73.5294,13.9706,8.088230000000001,1.47059,2.94118,"April 5, 2020",18M,"100,000+",1.7.0.0,5.0 and up,Rated for 3+,"₫23,000 - ₫185,000 per item",AppCraft LLC
1675,Volleyball Championship,Sports,4.2,"28,349 total",Install,65.3595,15.0327,7.843139999999999,2.61438,9.15033,"April 16, 2020",62M,"1,000,000+",2.00.13,4.4 and up,Rated for 3+,"₫25,000 - ₫466,000 per item",Sirocco Mobile Sp. z o.o.
1676,Word Champ - Free Word Game & Word Puzzle Games,Word,4.4,"13,839 total",Install,65.3595,19.6078,9.15033,1.96078,3.9215699999999996,"January 21, 2020",21M,"500,000+",7.3,5.0 and up,Rated for 3+,"₫35,000 - ₫3,200,000 per item",Brainfun - Word Games & Free Brain Puzzle Games
1677,Impossible Car Driving,Racing,4.2,5 total,Install,80.0,0.0,0.0,0.0,20.0,"January 12, 2020",Varies with device,"5,000+",1.2,4.2 and up,Rated for 3+,,ALPHA GAMES
1678,Angry Birds Friends,Arcade,4.2,"929,135 total",Install,66.6667,12.6667,6.0,3.33333,11.3333,"April 8, 2020",Varies with device,"50,000,000+",8.5.0,4.4 and up,Rated for 3+,"₫24,000 - ₫1,950,000 per item",Rovio Entertainment Corporation
1679,Panda Slide,Action,4.2,"6,720 total",Install,68.0272,9.523810000000001,10.2041,3.40136,8.843539999999999,"October 10, 2019",3.7M,"1,000,000+",1.4,4.0 and up,Rated for 3+,,Innovative games
1680,Track Mayhem,Action,3.5,14 total,Install,43.1034,14.2241,14.2241,6.89655,21.5517,"November 2, 2019",90M,"1,000+",1.3,4.1 and up,Rated for 3+,"₫6,000 per item",Best Free Games Inc.
1681,Kartina.TV,Entertainment,3.8,"9,089 total",Install,57.8035,9.248560000000001,7.51445,5.20231,20.2312,"February 29, 2020",20M,"500,000+",2.8.1,4.2 and up,Rated for 12+,"₫12,000 - ₫1,400,000 per item",Kartina.TV GmbH
1682,"ESPN Player - Europe, ME, Africa & Asia",Sports,4.3,787 total,Install,71.9424,10.7914,3.59712,0.719424,12.9496,"December 13, 2019",Varies with device,"100,000+",Varies with device,4.1 and up,Rated for 3+,"₫325,000 - ₫2,320,500 per item",ESPN Inc
1683,Football Tycoon,Sports,3.4,"4,607 total",Install,39.3701,15.3543,12.2047,9.44882,23.622,"June 10, 2019",85M,"100,000+",1.19,4.1 and up,Rated for 3+,"₫24,000 - ₫1,450,000 per item",Red Cats Ltd
1684,Badminton Legend,Sports,4.5,"301,002 total",Install,80.0,8.0,4.8,1.6,5.6,"February 25, 2020",27M,"10,000,000+",3.5.5003,4.1 and up,Rated for 3+,,Enjoysports
1685,8 Ball Arena,Sports,3.9,498 total,Install,62.5,4.375,10.625,5.625,16.875,"February 4, 2020",81M,"50,000+",2.2.7,5.0 and up,Rated for 3+,"₫23,000 - ₫2,200,000 per item",Tapmyads
1686,Fishing PRO,Sports,4.2,"2,726 total",Install,65.3595,14.3791,4.5751599999999994,2.61438,13.0719,"March 1, 2020",17M,"100,000+",1.3.1,4.0.3 and up,Rated for 3+,"₫22,000 - ₫2,800,000 per item",Synthesis
1687,Cartoon Wars 3,Role Playing,4.0,"143,823 total",Install,62.1118,9.93789,7.4534199999999995,3.7267099999999997,16.7702,"July 4, 2018",72M,"5,000,000+",2.0.2,2.3 and up,Rated for 12+,"₫22,000 - ₫2,199,000 per item",GAMEVIL
1688,Laws of the Game,Sports,4.7,574 total,Install,84.0336,10.9244,0.8403360000000001,2.52101,1.68067,"January 29, 2020",13M,"50,000+",1.0.1(1),5.0 and up,Rated for 3+,,The IFAB
1689,Results for Champions League 2019/2020,Sports,4.4,499 total,Install,74.0741,12.5926,3.7037,2.22222,7.4074100000000005,"October 2, 2019",6.5M,"100,000+",2.7.4,4.1 and up,Rated for 3+,"₫47,000 - ₫67,000 per item",Live Scores Apps
1690,Adrenalyn XL™ UEFA EURO 2020™,Card,4.0,"3,340 total",Install,62.1118,12.4224,6.211180000000001,3.7267099999999997,15.527999999999999,"March 18, 2020",48M,"100,000+",3.0.4,5.0 and up,Rated for 3+,"₫25,000 - ₫257,000 per item",PaniniGroup
1691,Space Cat Evolution: Kitty collecting in galaxy,Arcade,4.5,"26,460 total",Install,79.3651,10.3175,3.96825,1.5873,4.7619,"January 9, 2020",Varies with device,"1,000,000+",2.4.4,4.1 and up,Rated for 3+,"₫16,000 - ₫248,000 per item",WAZZAPPS
1692,Tap Tap Cartoonist - Cartoon999,Simulation,4.7,"74,110 total",Install,86.2069,8.62069,2.58621,0.0,2.58621,"November 8, 2018",43M,"500,000+",2.03,3.0 and up,Rated for 16+,"₫6,000 - ₫9,000,000 per item",Moontm
1693,Rodeo Stampede: Sky Zoo Safari,Casual,4.4,"803,708 total",Install,72.4638,13.0435,5.7971,2.17391,6.52174,"March 27, 2020",48M,"10,000,000+",1.26.3,4.4 and up,Rated for 3+,"₫20,000 - ₫569,000 per item",Yodo1 Games
1694,SKORES - Live Football Scores,Sports,4.5,"55,234 total",Install,72.9927,18.2482,3.64964,1.45985,3.64964,"February 25, 2020",Varies with device,"5,000,000+",Varies with device,Varies with device,Rated for 3+,"₫80,000 - ₫95,000 per item",SKORES - Live Football Scores
1695,Live Scores for Premier League 2019/2020,Sports,4.2,280 total,Install,65.3595,18.9542,4.5751599999999994,1.30719,9.80392,"October 2, 2019",6.5M,"50,000+",2.7.4,4.1 and up,Rated for 3+,"₫47,000 - ₫66,000 per item",Live Scores Apps
1696,Saalbach Hinterglemm,Travel & Local,4.0,437 total,Install,57.1429,14.8571,12.0,3.4285699999999997,12.5714,"November 28, 2019",30M,"100,000+",2.2 (0.0.70),4.1 and up,Rated for 3+,,intermaps
1697,Earthquakes,Maps & Navigation,4.1,390 total,Install,62.8931,13.8365,6.918239999999999,2.51572,13.8365,"October 18, 2019",Varies with device,"100,000+",Varies with device,Varies with device,Rated for 3+,"₫40,000 per item",KB@
1698,Rome Tourist Travel Guide,Travel & Local,4.6,40 total,Install,73.5294,19.8529,2.20588,0.0,4.41176,"July 29, 2018",87M,"10,000+",1.0.2,4.0 and up,Rated for 3+,,JS Guide
1699,Train Station 2: Rail Tycoon & Strategy Simulator,Strategy,4.3,"80,226 total",Install,66.2252,18.543,6.62252,2.6490099999999996,5.96026,"April 14, 2020",93M,"1,000,000+",1.21.0,5.0 and up,Rated for 3+,"₫27,000 - ₫2,700,000 per item",Pixel Federation Games
1700,Stick Cricket Premier League,Sports,4.4,"327,676 total",Install,70.922,14.8936,5.67376,1.41844,7.0922,"April 22, 2020",20M,"5,000,000+",1.7.6,4.4 and up,Rated for 3+,"₫61,000 - ₫666,000 per item",Stick Sports Ltd
1701,PhiGolf,Sports,3.2,147 total,Install,31.25,13.125,20.0,11.5625,24.0625,"March 16, 2020",41M,"10,000+",3.1.5,5.0 and up,Rated for 3+,"₫41,000 - ₫451,000 per item",phigolf
1702,CheepcheepChivalry,Adventure,4.6,9 total,Install,89.2857,0.0,0.0,0.0,10.7143,"March 18, 2018",41M,100+,1.4.0,6.0 and up,Rated for 7+,"₫26,000 - ₫98,000 per item",Francis Entereso
1703,Skyland Rush - Air Raid Attack,Adventure,,,Install,,,,,,"September 4, 2019",86M,500+,2.0.36,4.4 and up,Rated for 3+,"₫29,000 - ₫1,750,000 per item",LazyLand SA
1704,Into the Dead,Action,4.6,"1,663,202 total",Install,79.3651,11.9048,3.96825,0.793651,3.96825,"February 21, 2019",Varies with device,"50,000,000+",Varies with device,4.1 and up,Rated for 16+,"₫19,000 - ₫374,000 per item",PIKPOK
1705,Champion Horse Racing,Simulation,3.8,805 total,Install,58.8235,7.647060000000001,10.0,4.7058800000000005,18.8235,"January 15, 2020",28M,"100,000+",2.22,4.1 and up,Rated for 12+,"₫24,000 - ₫2,350,000 per item",Hasssh Limited
1706,Gold Crush,Arcade,,,Install,,,,,,"September 18, 2018",31M,500+,1.0.3,4.1 and up,Rated for 3+,,JK Games Studio
1707,Idle Evil Clicker,Simulation,3.9,"121,218 total",Install,62.5,11.25,4.375,2.5,19.375,"April 1, 2020",61M,"10,000,000+",2.17.4,5.0 and up,Rated for 12+,"₫13,000 - ₫2,650,000 per item",AppQuantum
1708,Duck Warfare,Strategy,4.3,"12,660 total","Was ₫22,000, now reduced to Install",70.4225,11.9718,7.04225,3.5211300000000003,7.04225,"March 17, 2019",50M,"1,000,000+",1.3.6,4.1 and up,Rated for 12+,,Kenny Park
1709,Bubble Blast 3D,Puzzle,4.3,"10,837 total",Install,65.3595,16.3399,7.843139999999999,3.26797,7.189539999999999,"March 1, 2019",27M,"500,000+",1.0.16,4.0 and up,Rated for 3+,,Magma Mobile
1710,Hex Blocks Puzzle,,4.5,35 total,Install,84.0336,2.52101,2.52101,2.52101,8.403360000000001,"June 12, 2019",6.5M,"5,000+",1.2.3,4.1 and up,Rated for 3+,"₫6,000 - ₫41,000 per item",Sun Temple
1711,Give It Up! 2 - free music jump game,Music,4.2,"26,776 total",Install,68.9655,11.7241,6.2069,3.4482800000000005,9.65517,"March 1, 2019",44M,"1,000,000+",1.6.5,4.4 and up,Rated for 3+,"₫22,030 - ₫449,279 per item",Invictus Games Ltd.
1712,"Vertical Adventure : Jump, Die, Retry",Arcade,4.5,"5,943 total",Install,71.4286,16.4286,5.71429,3.5714300000000003,2.8571400000000002,"December 3, 2019",36M,"100,000+",.92,4.2 and up,Rated for 3+,"₫25,000 per item",Rikudo Games
1713,Pixel Cup Soccer 16,Sports,4.2,423 total,"₫45,000 Buy",62.5,18.125,5.0,3.75,10.625,"September 5, 2017",79M,"10,000+",1.0.5,4.0 and up,Rated for 3+,,Batovi Games Studio
1714,PT-Helper Pro,Health & Fitness,4.3,41 total,"₫69,000 Buy",60.9756,19.5122,14.6341,2.43902,2.43902,"February 6, 2020",2.3M,"1,000+",2.5.0,4.4 and up,Rated for 3+,,PT Helper LLC
1715,"Fraction Calculator ""Fractal MK-12""",Education,4.6,141 total,"₫45,000 Buy",75.188,16.5414,6.01504,2.25564,0.0,"September 18, 2019",1.2M,"50,000+",9.02,5.0 and up,Rated for 3+,,Infosoft International Inc
1716,Hoop League Tactics,Sports,4.0,"1,501 total",Install,56.4972,15.2542,14.1243,5.649719999999999,8.47458,"March 25, 2020",22M,"100,000+",1.5.3,4.2 and up,Rated for 3+,"₫69,000 per item",Koality Game
1717,Kievan Rus’,Strategy,4.0,"19,331 total",Install,53.7634,20.9677,10.7527,3.76344,10.7527,"March 15, 2020",75M,"500,000+",1.2.61,4.2 and up,Rated for 3+,"₫25,000 - ₫2,350,000 per item",Oxiwyle
1718,The Simpsons™: Tapped Out,Casual,4.2,"4,009,802 total",Install,69.4444,11.1111,5.55556,2.77778,11.1111,"April 7, 2020",67M,"100,000,000+",4.43.1,4.1 and up,Rated for 12+,"₫22,000 - ₫2,199,000 per item",ELECTRONIC ARTS
1719,Bubble Blast™ Legacy,Casual,4.4,920 total,Install,70.922,15.6028,4.96454,0.70922,7.801419999999999,"February 1, 2019",42M,"100,000+",1.0.9,4.0 and up,Rated for 3+,"₫108,000 per item",Magma Mobile
1720,Breakout Ninja,Arcade,4.6,"9,128 total",Install,75.188,17.2932,4.51128,0.75188,2.25564,"April 5, 2017",39M,"500,000+",1.3,4.4 and up,Rated for 7+,"₫48,000 per item",Part Time Monkey
1721,Wheel of life offline,Lifestyle,3.3,6 total,Install,50.2513,0.0,16.5829,0.0,33.1658,"January 15, 2020",2.0M,"1,000+",60,4.0.3 and up,Rated for 3+,,ARC Company
1722,Meditation Helper Plus,Health & Fitness,4.2,95 total,Install,65.7895,10.5263,9.21053,9.21053,5.26316,"May 11, 2019",7.9M,"5,000+",2.4.6.59d92d40,4.4 and up,Rated for 3+,"₫15,000 - ₫439,000 per item",Multiordinal Limited
1723,Elevate - Brain Training Games,Education,4.5,"338,312 total",Install,72.4638,18.8406,2.89855,0.724638,5.0724599999999995,"April 7, 2020",Varies with device,"10,000,000+",Varies with device,Varies with device,Rated for 3+,"₫21,000 - ₫3,574,177 per item",Elevate Labs
